Category,Question,Answer,Related Module
Troubleshooting,My conversion rate is under 1% - what do I do?,"Fix: (1) Better product images (replace Printify flats with mockups), (2) Compelling descriptions (use Email GPT + Claude), (3) Test pricing ($27 vs $32 vs $37), (4) Add trust badges, (5) Improve mobile experience, (6) Simplify checkout.",Module 10.2
Troubleshooting,I'm getting clicks but no sales - why?,"Reasons: (1) Designs aren't resonating (test more), (2) Pricing too high (test lower), (3) Store looks unprofessional (optimize), (4) Shipping cost too high (offer free over $50), (5) Wrong audience (adjust targeting). Review your conversion rate in Shopify Analytics.",Module 10.2
Troubleshooting,My Facebook Pixel isn't firing - help!,"Solutions: (1) Download Meta Pixel Helper Chrome extension, (2) Visit your store and check if pixel shows green, (3) If not, reinstall 'Facebook & Instagram by Meta' app from Shopify, (4) Verify pixel is selected in app settings, (5) Wait 30 minutes and test again.",Module 7.3
Troubleshooting,My catalog ads aren't spending - what's wrong?,"Reasons: (1) Products not synced to catalog yet (takes 1-2 hours after upload), (2) Products missing required fields (price, image, description), (3) Budget too low (minimum $20/day for catalog), (4) Audience too narrow (expand targeting).",Module 9
Troubleshooting,I can't connect my domain - DNS issues,"Solution: (1) If using external registrar (GoDaddy, Namecheap), copy exact A and CNAME records from Shopify, (2) Add to DNS settings (NOT forwarding settings), (3) Wait 24-48 hours for propagation, (4) If still not working after 48 hours, contact registrar support.",Module 4.5
Scaling & Growth,When should I launch new products?,Monthly cadence: Launch 20-50 new designs every 30 days. Follow patterns from your winners. Email your list about 'new drops' with NEWDROP10 discount code. Keep fresh products flowing to maintain momentum.,Module 11.1
Scaling & Growth,"Should I expand to other platforms (Amazon, Etsy)?","Not initially. Master Shopify + Facebook ads first. Once you're making $5K+/month consistently (3+ months), then consider expanding to Amazon Merch, Etsy, or Google Shopping as additional channels.",Module 11.4
Scaling & Growth,When should I hire help?,"Hire when: (1) Consistently profitable 3+ months, (2) Making $5K+/month revenue, (3) You're overwhelmed with tasks. Hire in this order: (1) Designer for new designs, (2) VA for product uploads, (3) VA for customer service, (4) Social media manager.",Module 11.5
Scaling & Growth,What should I NOT outsource?,"Keep these in-house: (1) Ad strategy and budget decisions, (2) Email marketing strategy, (3) Brand voice and messaging, (4) Financial tracking and profit analysis, (5) Major strategic decisions. You need to understand your business fundamentals.",Module 11.5
Tools & Resources,What AI tools do I need?,"Required: WeScale Brand Builder GPT (free), Design GPT (free), Design Gem (free), Mock-Up Gem (free), Email Marketing Brain GPT (free), Claude AI (free), Google Gemini (free), Canva (free or $13/mo Pro). All WeScale GPTs accessed through free School Community.",Module 1-2
Tools & Resources,Do I need Canva Pro?,Recommended. Canva Pro ($13/month) gives you 'Remove Background' feature which is essential for cleaning up designs and creating transparent logos. Free version works but Pro makes life much easier.,Module 1.2
Tools & Resources,"Where do I get all the templates (policies, emails, etc)?","All templates are in the WeScale School Community (free to join). Navigate to Classroom → Course → Resources. You'll find: Policy templates, Email flow templates, Product description guide, Good vs Bad Design PDF.","Modules 4.4, 6.3"
Tools & Resources,Can I use this with Etsy or Amazon instead of Shopify?,"Not recommended. This course is built specifically for Shopify + Printify + Facebook Ads. Etsy has different dynamics (SEO-focused, high competition, lower margins). Amazon Merch is print-only, no custom store. Stick with Shopify.",Module 1.1
Mindset & Expectations,How much time does this require per week?,"Launch phase: 10-15 hours/week for 2-4 weeks (setup + first campaigns). Maintenance phase: 5-10 hours/week (checking ads, fulfilling orders, customer service, creating new designs). Scale phase: 15-20 hours/week (or hire help).",Throughout
Mindset & Expectations,What if I've never run a business before?,"Perfect! This course assumes zero business experience. Everything is taught step-by-step. Many successful students had never: (1) Built a website, (2) Run ads, (3) Created designs, (4) Sold anything online. You'll learn it all.",Module 0.1
Mindset & Expectations,I'm not tech-savvy - can I still do this?,"Yes. If you can use email and browse websites, you can do this. Every tool is explained. Build My POD automates 80% of technical setup. When stuck, use the support resources: WeScale School Community, coach calls, 24/7 Build My POD support.",Module 1.1
Mindset & Expectations,What's the #1 reason people fail at POD?,"Quitting too early. They spend $200 on ads, get no sales, and quit. Reality: You need $500-1,000 in ad spend to find winners and dial in your system. Give it 30-60 days of consistent effort before deciding it's not working.",Module 8.4
Mindset & Expectations,Do I need to show my face or build a personal brand?,"No. Your brand is the business (SlothHikingClub, Slice Club, etc), not you personally. You never need to show your face, create content as yourself, or build a following. This is an anonymous, asset-building business model.",Throughout
